Entity,Code,Year,Share under $2 per day,Share under $20 per day,Share under $5 per day,Share under $10 per day,Share under $5.2 a day (roughly equivalent to the international poverty line)
Myanmar,MMR,1950,70.6952664672676,99.9990941791255,97.9012236570958,99.9212083521599,98.2025712175192
Myanmar,MMR,1960,56.7584766042127,99.8244689364564,89.6904345134949,98.176265166144,90.5059302729696
Myanmar,MMR,1970,50.6372381604496,99.7152367424646,86.6468873227945,97.3648170374463,87.6297511567915
Myanmar,MMR,1980,38.6551012049188,99.306350520583,78.9751617024332,94.8770500729125,80.2998915556396
Myanmar,MMR,1990,41.0549089879272,99.4177484543744,80.723348515041,95.4984528082615,81.9790991860526
Myanmar,MMR,2000,24.6113804376284,98.0400176449571,65.8036145118989,89.1509762467266,67.5060929658812
Myanmar,MMR,2005,10.4611243535259,93.3768053731458,43.7493527245899,74.9705930719142,45.6080841769053
Myanmar,MMR,2010,5.38035101434713,88.8293822870179,31.4105480034282,64.3052104461327,33.1381748985055
Myanmar,MMR,2017,1.87770368294018,77.2425395772548,16.9815961786674,45.8577798721231,18.2270237832038
Namibia,NAM,1820,30.7488967975979,96.4655971938687,66.1456932249103,86.6922204528236,67.5732173879505
Namibia,NAM,1850,29.4674312893903,98.0649496446707,69.0652941226039,90.0171068978922,70.6128682483176
Namibia,NAM,1870,27.2953138530474,95.8892737936964,62.855318104192,84.9198376199195,64.3531303370018
Namibia,NAM,1890,5.66946352194571,97.7087001306046,43.7046065271877,82.1021471053072,46.1172144337571
Namibia,NAM,1910,1.82335202261688,81.2878186292798,18.2540185478435,49.6574226673023,19.6285632556423
Namibia,NAM,1929,8.47211154904406,89.4821556667285,37.1162578424512,67.7925078461915,38.8191273315054
Namibia,NAM,1950,3.49663476091432,87.7208764616809,26.4650067686029,60.4894146516084,28.1488197988735
Namibia,NAM,1960,18.6202323542664,82.9229438762467,43.7018087430071,65.405643865879,44.941494557353
Namibia,NAM,1970,13.9391147693492,77.638582481464,36.3313998989859,58.1297797892358,37.515890072017
Namibia,NAM,1980,13.5744990867282,77.1399895930808,35.7110369919974,57.4810855514547,36.8888266391973
Namibia,NAM,1990,17.9661920193647,82.2893523680492,42.7316649357933,64.4911833462548,43.9666133203267
Namibia,NAM,2000,25.9571957959365,81.2120296020102,48.5777817612691,66.4596143094785,49.6174434783265
Namibia,NAM,2005,17.6200036093267,77.0355419312159,39.5350908972031,59.3791552600843,40.6346103591809
Namibia,NAM,2010,3.97850691628299,67.2582189595608,19.0074431926204,41.4773065161705,20.041365761537
Namibia,NAM,2017,2.89283207766499,61.92294800271,15.3575366716387,35.9842213642285,16.2621321144309
Nepal,NPL,1820,69.7255740463948,99.9993554721282,97.9659893893371,99.9323195489742,98.266857468497
Nepal,NPL,1850,70.1589438532601,99.996368494369,97.1106062515636,99.8318247286384,97.4759952475965
Nepal,NPL,1870,71.9125682863352,99.9455932190214,95.0455759762671,99.3014114993918,95.4966831519911
Nepal,NPL,1890,62.1774172450233,99.9931859917655,95.5883773277334,99.7108250128142,96.1175454413347
Nepal,NPL,1910,55.9226810462463,99.9565607368864,92.1438068892636,99.1162412998144,92.9082562382332
Nepal,NPL,1929,57.8023842711024,99.9357090807194,91.9172791196967,98.953729630669,92.6611265483685
Nepal,NPL,1950,59.8658458440638,99.9546970889791,92.9337856255827,99.1679137859609,93.613826200633
Nepal,NPL,1960,39.4881989129093,99.9961207550031,92.1030332111784,99.6339604075009,93.1080788296271
Nepal,NPL,1970,34.3946579845577,99.9932359774224,89.9187817078682,99.4564050050621,91.1297796732359
Nepal,NPL,1980,34.2670557774351,99.9931402686777,89.8573925070172,99.4509765446211,91.0739097680557
Nepal,NPL,1990,32.2741670019977,99.6975441354848,79.2581948257814,96.2483278281346,80.7851759529546
Nepal,NPL,2000,27.5584021383339,98.5944212616209,69.6700051433017,91.2343678107226,71.3107364715893
Nepal,NPL,2005,27.5944953419853,97.7174339507827,66.8995177252612,88.8363622819485,68.4854312793174
Nepal,NPL,2010,11.7623834767472,98.166683202919,54.6516529623246,86.5021710134442,56.8545886595707
Nepal,NPL,2017,7.26902007544061,96.5648277855244,43.950280260465,79.7878533777981,46.1592821353871
Netherlands,NLD,1820,23.0637480830634,91.2548493833025,53.8352868001295,76.621878813928,55.2484900321677
Netherlands,NLD,1850,9.24883626434584,88.010097478702,37.0583862879138,66.3703580721471,38.6786030043449
Netherlands,NLD,1870,14.0168289846669,84.2807205030015,40.1444647888151,64.7368783859171,41.5240621012675
Netherlands,NLD,1890,1.93424746472617,80.3615536538225,18.2814722473832,49.0010794039701,19.6298618119563
Netherlands,NLD,1910,2.72312197755547,74.5405454187087,18.534937984243,45.3219171852067,19.7339122171428
Netherlands,NLD,1929,0.211372028857785,54.3066517349803,4.65512651088449,21.6066780332708,5.16898653943307
Netherlands,NLD,1950,0.0178204408927614,46.854870148076,1.45912608651201,12.9245417464039,1.69381859249673
Netherlands,NLD,1960,0.124682858053709,38.7785824789031,2.65475760286435,13.3581313397441,2.95471145599094
Netherlands,NLD,1970,0.00685963557957555,19.8106241080908,0.422705258009682,4.0851450971897,0.489904581853458
Netherlands,NLD,1980,4.12298592248716e-7,4.02624648097445,0.00155442618910095,0.155578366010262,0.00209322008563382
Netherlands,NLD,1990,1.24076492974645e-7,2.29822376142325,0.000582437897445272,0.0711635329094497,0.0007926500529362
Netherlands,NLD,2000,1.24266517136767e-9,0.442484722089719,0.0000209609511837687,0.00617903997719764,0.0000300457886227451
Netherlands,NLD,2005,3.68601823409924e-11,0.180775448351464,0.00000217340510955977,0.00137631465596909,0.00000326682035690259
Netherlands,NLD,2010,1.09740652896476e-12,0.0693519371876404,2.16217039169492e-7,0.000288961715100953,3.40320294177493e-7
Netherlands,NLD,2017,5.94433043600067e-13,0.0485637965125644,1.26950454068358e-7,0.00018387602098991,2.00640936917005e-7
New Zealand,NZL,1820,64.1540753735492,99.6709225965676,90.313443181342,97.770298396751,90.9833294897772
New Zealand,NZL,1850,16.1132884920328,99.0925082274722,63.4661646452689,91.2033873215852,65.59104453186
New Zealand,NZL,1870,4.70593876880416,81.1565089059057,25.5836902752976,54.5271071951437,27.0048335152429
New Zealand,NZL,1890,1.08891179558866,74.0608707747542,13.0401740817283,40.5306435286134,14.1315974614989
New Zealand,NZL,1910,0.0877449258652848,55.5835595734569,3.37838543820289,19.941016985454,3.8181312205881
New Zealand,NZL,1929,0.167106345755239,57.201017885215,4.50898904919598,22.4681347978554,5.03596578757064
